Hole number,FDUP,ORG,TiO2 dup,TiO2 org,P dup,P org,V dup,V org
NM20012,B418069,B418068,4.43,4.37,1.35,1.37,0.041,0.04
NM20012,B418089,B418088,4.96,5,1.57,1.59,0.046,0.046
NM20012,B418109,B418108,4.34,4.38,1.2,1.19,0.039,0.04
NM20012,B418129,B418128,4.65,4.62,1.275,1.29,0.044,0.044
NM20012,B418149,B418148,4.53,4.47,1.32,1.33,0.04,0.04
NM20011,B416308,B416307,5.35,5.19,0.055,0.056,0.042,0.04
NM20011,B416328,B416327,4.72,4.71,0.036,0.037,0.033,0.034
NM20011,B416346,B416345,5.57,5.76,0.023,0.023,0.036,0.036
NM20011,B416363,B416362,3.84,3.9,0.037,0.036,0.026,0.026
NM20011,B416379,B416378,2.95,2.96,0.027,0.027,0.014,0.015
NM20011,B416399,B416398,4.23,4.27,1.565,1.585,0.041,0.041
NM20011,B416419,B416418,4.6,4.67,1.73,1.745,0.045,0.045
NM20011,B416429,B416428,4.46,4.47,1.655,1.63,0.044,0.044
NM20011,B416442,B416441,4.25,4.19,1.555,1.545,0.041,0.04
NM20011,B416451,B416450,4.51,4.56,1.34,1.35,0.038,0.039
NM20011,B416469,B416468,3.36,3.36,0.053,0.052,0.013,0.012
NM20011,B416487,B416486,2.98,3,0.059,0.06,0.012,0.011
NM20011,B416507,B416506,5.72,5.62,0.05,0.052,0.021,0.021
NM20011,B416527,B416526,5.02,4.97,0.047,0.046,0.02,0.021
NM20011,B416547,B416546,5.16,5.47,0.03,0.031,0.022,0.024
NM20010,B419017,B419016,0,4.98,0,0.021,0,0.035
NM20010,D024665,D024664,4.89,4.93,0.012,0.012,0.035,0.037
NM20010,D024685,D024684,4.57,4.55,0.017,0.017,0.037,0.035
NM20010,D024705,D024704,4.96,4.9,0.019,0.019,0.041,0.041
NM20010,D024725,D024724,4.77,4.79,0.014,0.014,0.038,0.038
NM20010,D024745,D024744,5.1,5.08,0.018,0.018,0.025,0.025
NM20010,D024765,D024764,7.03,7.1,0.022,0.022,0.032,0.032
NM20010,D024785,D024784,3.2,3.11,0.035,0.034,0.014,0.014
NM20010,D024805,D024804,5.99,5.92,0.02,0.021,0.024,0.022
NM20010,D024825,D024824,2.83,2.87,0.024,0.023,0.011,0.011
NM20010,D024845,D024844,2.63,2.61,0.027,0.025,0.01,0.011
NM20010,D024865,D024864,1.72,1.82,0.012,0.012,0.011,0.011
NM20010,D024885,D024884,5.72,5.78,0.016,0.016,0.021,0.022
NM20010,D024905,D024904,3.99,3.93,0.021,0.021,0.017,0.016
NM20010,D024925,D024924,4.81,4.8,0.011,0.011,0.022,0.022
NM20009,B416094,B416093,5.53,5.59,0.063,0.061,0.026,0.026
NM20009,B416115,B416114,6.63,6.58,0.039,0.04,0.049,0.049
NM20009,B416138,B416137,7.9,7.89,0.027,0.026,0.061,0.06
NM20009,B416160,B416159,4.5,4.51,0.051,0.051,0.034,0.034
NM20009,B416182,B416181,4.34,4.35,0.047,0.049,0.035,0.036
NM20009,B416203,B416202,4.66,4.71,0.05,0.048,0.037,0.037
NM20009,B416227,B416226,4.42,4.5,0.054,0.056,0.032,0.035
NM20009,B416254,B416253,4.39,4.42,0.062,0.059,0.035,0.035
NM20009,B416273,B416272,4.53,4.6,0.061,0.058,0.036,0.036
NM20008,B417605,B417604,5.07,4.97,0.03,0.03,0.033,0.031
NM20008,C176852,C176851,3.32,3.37,0.061,0.058,0.015,0.015
NM20008,B417645,B417644,3.47,3.42,0.066,0.065,0.012,0.012
NM20008,B417663,B417662,4.05,4.05,0.037,0.043,0.025,0.026
NM20008,B417684,B417683,4.05,4.02,1.35,1.34,0.039,0.039
NM20008,B417705,B417704,3.67,3.82,1.425,1.46,0.036,0.036
NM20008,B417727,B417726,3.87,3.78,1.5,1.475,0.038,0.036
NM20008,B417739,B417738,3.86,3.74,1.49,1.475,0.036,0.035
NM20008,B417760,B417759,4.73,4.81,1.605,1.62,0.045,0.046
NM20008,B417782,B417781,5.3,5.3,0.04,0.04,0.04,0.04
NM20008,B417798,B417797,5.15,5.1,0.027,0.028,0.039,0.04
NM20008,B417820,B417819,4.13,4.11,0.082,0.082,0.033,0.032
NM20008,B417839,B417838,6.04,6.02,0.052,0.048,0.045,0.045
NM20008,B417859,B417858,4.69,4.46,0.05,0.049,0.035,0.034
NM20007,B415893,B415892,4.43,4.47,1.34,1.345,0.036,0.039
NM20007,B415917,B415916,5.34,5.36,1.75,1.76,0.048,0.049
NM20007,B415939,B415938,4.88,4.94,1.615,1.62,0.041,0.043
NM20007,B415957,B415956,4.33,4.25,1.24,1.27,0.039,0.035
NM20007,B415980,B415979,4.65,4.58,1.305,1.285,0.043,0.043
NM20007,B416000,B415999,5.06,5.1,0.405,0.44,0.03,0.031
NM20007,B416021,B416020,4.52,4.62,1.1,1.105,0.031,0.033
NM20007,B416041,B416040,4.55,4.47,1.315,1.315,0.05,0.05
NM20007,B416063,B416062,3.75,3.76,0.068,0.066,0.027,0.027
NM20006,B415664,B415663,5.46,5.62,0.968,0.95,0.051,0.052
NM20006,B415685,B415684,4.73,4.77,1.565,1.59,0.039,0.04
NM20006,B415708,,4.55,#N/A,1.525,#N/A,0.039,#N/A
NM20006,B415729,B415728,4.87,4.93,1.535,1.54,0.04,0.04
NM20006,B415746,B415745,4.56,4.45,1.38,1.395,0.038,0.035
NM20006,B415761,B415760,5.11,5.01,1.405,1.43,0.042,0.043
NM20006,B415780,B415779,5.08,4.79,1.63,1.56,0.041,0.039
NM20006,B415800,B415799,7.18,7.1,0.757,0.691,0.054,0.053
NM20006,B415817,B415816,4.39,4.29,1.15,1.14,0.034,0.033
NM20006,B415833,B415832,3.99,4.09,1.105,1.12,0.035,0.036
NM20006,B415854,B415853,4.17,4.16,1.025,1.015,0.038,0.038
NM20006,B415877,B415876,3.97,3.87,0.936,0.912,0.032,0.032
NM20005,B415490,B415489,4.66,4.66,0.639,0.559,0.029,0.029
NM20005,B415513,B415512,3.36,3.39,0.026,0.028,0.016,0.016
NM20005,B415536,B415535,5.82,5.9,0.027,0.027,0.034,0.036
NM20005,B415585,B415584,3.35,3.31,0.053,0.053,0.015,0.014
NM20004,B417379,B417378,4.05,4.05,0.994,0.994,0.034,0.034
NM20004,B417411,B417410,4.28,4.12,1.115,1.065,0.038,0.037
NM20004,B417439,B417438,6.62,6.57,0.701,0.729,0.042,0.041
NM20004,B417472,B417471,4.98,4.84,1.605,1.515,0.042,0.041
NM20004,B417531,B417530,4.78,4.75,1.645,1.655,0.044,0.044
NM20004,B417572,B417571,3.94,3.9,0.99,0.975,0.024,0.022
NM20004,C176872,C176871,2.77,2.73,0.048,0.05,0.019,0.019
NM20004,C176892,C176891,5.94,5.88,0.026,0.027,0.037,0.037
NM20003,B415242,B415241,5.11,5.13,1.61,1.625,0.046,0.045
NM20003,B415257,B415256,5.39,5.53,1.735,1.79,0.048,0.048
NM20003,B415273,B415272,5.2,5.3,1.725,1.765,0.045,0.046
NM20003,B415290,B415289,5.47,5.54,1.745,1.76,0.049,0.049
NM20003,B415311,B415310,4.45,4.58,1.305,1.32,0.038,0.04
NM20003,B415341,B415340,4.79,4.87,1.415,1.425,0.042,0.043
NM20003,B415355,B415354,5.22,5.18,1.64,1.65,0.047,0.046
NM20003,B415379,,4.58,#N/A,1.285,#N/A,0.038,#N/A
NM20003,B415393,B415392,4.06,3.98,1.14,1.13,0.035,0.035
NM20003,B415410,B415409,5.98,5.87,1.065,1.04,0.044,0.044
NM20003,B415427,B415426,3.31,3.27,0.858,0.856,0.026,0.026
NM20003,B415451,B415450,4,4.05,0.974,0.977,0.035,0.034
NM20003,B415463,B415462,3.42,3.45,0.907,0.911,0.032,0.032
NM20003,B415472,B415471,4.16,4.21,0.976,0.983,0.032,0.034
NM20002,B415014,B415013,6.29,6.15,0.692,0.696,0.045,0.042
NM20002,B415034,B415033,4.55,4.58,1.255,1.28,0.037,0.037
NM20002,B415050,B415049,4.98,5.06,1.44,1.48,0.042,0.043
NM20002,B415070,B415069,5,4.93,1.685,1.675,0.045,0.043
NM20002,B415090,B415089,4.35,4.46,1.37,1.41,0.042,0.042
NM20002,B415115,B415114,4.67,4.77,1.48,1.54,0.044,0.046
NM20002,B415140,B415139,4.7,4.71,1.58,1.575,0.044,0.043
NM20002,B415147,B415146,3.56,4.33,0.284,0.312,0.026,0.028
NM20002,B415176,B415175,5.03,4.98,1.61,1.62,0.049,0.048
NM20002,B415200,B415199,2.19,2.19,0.703,0.719,0.021,0.02
NM20002,D024530,D024529,2.69,2.7,0.054,0.058,0.017,0.017
NM20001,B417017,B417016,5.18,5.21,1.68,1.725,0.05,0.05
NM20001,B417035,B417034,4.8,4.81,0.429,0.451,0.031,0.031
NM20001,B417059,B417058,5.19,5.39,1.34,1.365,0.04,0.042
NM20001,B417079,B417078,4.81,6.57,1.555,0.102,0.044,0.192
NM20001,B417099,B417098,4.68,4.79,1.57,1.63,0.041,0.043
NM20001,B417125,B417124,5.36,5.22,1.85,1.835,0.046,0.045
NM20001,B417146,B417145,4.56,4.87,1.44,1.51,0.038,0.042
NM20001,B417169,B417168,4.98,5,1.65,1.695,0.044,0.042
NM20001,B417194,B417193,4.79,4.83,1.43,1.45,0.042,0.042
NM20001,B417218,B417217,5.14,4.96,1.485,1.605,0.043,0.039
NM20001,B417245,B417244,4.54,4.55,1.44,1.445,0.041,0.041
NM20001,B417267,B417266,7.76,7.74,0.733,0.699,0.051,0.051
NM20001,B417287,B417286,2.64,2.71,0.706,0.711,0.023,0.024
NM20001,B417305,B417304,3.58,3.6,0.949,0.944,0.03,0.03
NM20001,B417328,B417327,3.79,3.92,1.04,1.085,0.034,0.034
NM20001,B417350,B417349,4.92,4.92,1.31,1.34,0.044,0.042
NM20001,B415626,B415625,2.84,2.78,0.817,0.798,0.023,0.021
